IMT,IMD,TREATMENT
1005,54.2309874518,CONTROL
1170,41.7731971484,CONTROL
1035,33.0151480384,CONTROL
1335,29.4108823397,CONTROL
1065,32.8937684068,CONTROL
1275,29.1547594742,CONTROL
1770,51.4781507049,CONTROL
1125,30.2654919008,CONTROL
1065,15.0332963784,CONTROL
1305,45.7930125674,CONTROL
1020,18.6010752377,CONTROL
990,15.0,CONTROL
1395,12.0830459736,CONTROL
1680,26.0192236625,CONTROL
1050,34.2344855372,CONTROL
1230,48.1040538832,CONTROL
1215,8.94427191,CONTROL
1320,12.8062484749,CONTROL
1635,44.0454310911,CONTROL
1455,47.1699056603,CONTROL
1275,22.803508502,CONTROL
975,42.4499705536,CONTROL
1170,11.1803398875,CONTROL
1230,31.0161248385,CONTROL
1650,7.07106781187,CONTROL
1080,16.2788205961,CONTROL
1095,41.7731971484,CONTROL
1035,45.607017004,CONTROL
1020,44.9444101085,CONTROL
1125,31.0,CONTROL
1035,36.6196668472,CONTROL
1275,59.2368128785,CONTROL
990,36.1247837364,CONTROL
1125,12.1655250606,CONTROL
1785,38.0131556175,CONTROL
1320,66.0681466366,CONTROL
1110,54.0370243444,CONTROL
1125,48.1663783152,CONTROL
1200,65.0,CONTROL
1110,39.9249295554,CONTROL
975,8.60232526704,CONTROL
960,0.0,CONTROL
1500,91.4166286843,CONTROL
1020,36.0,CONTROL
1140,26.9258240357,CONTROL
1095,23.1948270095,CONTROL
1290,52.5547333739,CONTROL
1005,38.0131556175,CONTROL
1035,44.3846820423,CONTROL
1275,3.0,CONTROL
1095,19.7230829233,CONTROL
1455,60.6712452485,CONTROL
1500,52.2398315464,CONTROL
1305,18.3847763109,CONTROL
1080,65.4904573201,CONTROL
1035,19.4164878389,CONTROL
1515,9.21954445729,CONTROL
1290,8.60232526704,CONTROL
1200,16.4924225025,CONTROL
1455,50.4876222455,CONTROL
975,76.026311235,CONTROL
1215,39.6610640301,CONTROL
1170,43.1856457634,CONTROL
1230,14.0,CONTROL
1590,28.4429253067,CONTROL
1695,31.384709653,CONTROL
1515,15.1327459504,CONTROL
1140,28.6356421266,CONTROL
1230,34.1320963318,CONTROL
1005,55.3172667438,CONTROL
915,56.6127194189,CONTROL
1065,26.83281573,CONTROL
1245,37.2021504755,CONTROL
1140,23.3238075794,CONTROL
1230,21.4709105536,CONTROL
1110,27.2029410175,CONTROL
1080,23.8537208838,CONTROL
1080,39.6232255123,CONTROL
1065,39.4588393139,CONTROL
1110,17.88854382,CONTROL
915,23.769728648,CONTROL
1230,29.0688837075,CONTROL
1050,13.0384048104,CONTROL
1065,28.4429253067,CONTROL
1095,5.38516480713,CONTROL
930,12.2065556157,CONTROL
1275,6.0827625303,CONTROL
1035,21.8403296678,CONTROL
1215,9.21954445729,CONTROL
1110,16.1245154966,CONTROL
1035,12.3693168769,CONTROL
1005,29.5465734054,CONTROL
1080,15.8113883008,CONTROL
1155,30.0665927567,CONTROL
1050,17.0293863659,CONTROL
1095,35.3553390593,CONTROL
1710,73.0068489938,CONTROL
1125,44.0454310911,CONTROL
1200,42.5793377121,CONTROL
1155,23.3452350599,CONTROL
1185,15.8113883008,CONTROL
1560,50.2493781056,CONTROL
1995,71.4492827116,CONTROL
930,18.6815416923,CONTROL
1815,33.2415402772,CONTROL
1035,4.12310562562,CONTROL
1305,22.0227155455,CONTROL
1185,11.401754251,CONTROL
840,42.9534631898,CONTROL
795,20.0,CONTROL
990,48.3321838944,CONTROL
1350,12.2065556157,CONTROL
1215,21.0950231097,CONTROL
1545,19.0262975904,CONTROL
1200,39.9624824054,CONTROL
1425,11.7046999107,CONTROL
1335,26.0768096208,CONTROL
1335,53.4134814443,CONTROL
1230,16.9705627485,CONTROL
1020,32.2490309932,CONTROL
1305,12.1655250606,CONTROL
1200,43.8292140016,CONTROL
1080,21.2132034356,CONTROL
1215,5.0,CONTROL
1140,22.360679775,CONTROL
1350,64.1950153828,CONTROL
1260,30.8058436015,CONTROL
1125,17.691806013,CONTROL
900,18.973665961,CONTROL
1230,184.295957633,CONTROL
1005,19.3132079158,CONTROL
1065,1.41421356237,CONTROL
1410,31.1448230048,CONTROL
1380,9.8488578018,CONTROL
1005,11.1803398875,CONTROL
1125,50.219518118,CONTROL
1200,41.1460812229,CONTROL
1065,33.6154726279,CONTROL
1065,31.7804971641,CONTROL
1110,44.6542271235,CONTROL
1050,75.5843899228,CONTROL
1050,77.6208734813,CONTROL
1305,40.4474968323,CONTROL
930,18.4390889146,CONTROL
1035,27.5136329844,CONTROL
975,51.7397332811,CONTROL
855,17.0,CONTROL
1005,23.3452350599,CONTROL
1095,38.3275357935,CONTROL
1140,27.8567765544,CONTROL
